MinTemp;MaxTemp;Rainfall;Sunshine;WindDir9am;WindDir3pm;WindSpeed9am;WindSpeed3pm;Humidity9am;Humidity3pm;Pressure9am;Pressure3pm;Cloud9am;Cloud3pm;Temp9am;Temp3pm;RainToday;RISK_MM;RainTomorrow
8;24.3;0;6.3;SW;NW;6;20;68;29;1019.7;1015;7;7;14.4;23.6;0;3.6;1
14;26.9;3.6;9.7;E;W;4;17;80;36;1012.4;1008.4;5;3;17.5;25.7;1;3.6;1
13.7;23.4;3.6;3.3;N;NNE;6;6;82;69;1009.5;1007.2;8;7;15.4;20.2;1;39.8;1
13.3;15.5;39.8;9.1;WNW;W;30;24;62;56;1005.5;1007;2;7;13.5;14.1;1;2.8;1
7.6;16.1;2.8;10.6;SSE;ESE;20;28;68;49;1018.3;1018.5;7;7;11.1;15.4;1;0;0
6.2;16.9;0;8.2;SE;E;20;24;70;57;1023.8;1021.7;7;5;10.9;14.8;0;0.2;0
6.1;18.2;0.2;8.4;SE;ESE;19;26;63;47;1024.6;1022.2;4;6;12.4;17.3;0;0;0
8.3;17;0;4.6;SE;E;11;24;65;57;1026.2;1024.2;6;7;12.1;15.5;0;0;0
8.8;19.5;0;4.1;E;ENE;19;17;70;48;1026.1;1022.7;7;7;14.1;18.9;0;16.2;1
8.4;22.8;16.2;7.7;S;ESE;7;6;82;32;1024.1;1020.7;7;1;13.3;21.7;1;0;0
9.1;25.2;0;11.9;SE;NW;6;9;74;34;1024.4;1021.1;1;2;14.6;24;0;0.2;0
8.5;27.3;0.2;12.5;E;NW;2;15;54;35;1023.8;1019.9;0;3;16.8;26;0;0;0
10.1;27.9;0;13;S;NW;6;7;62;29;1022;1017.1;0;1;17;27.1;0;0;0
12.1;30.9;0;12.4;WNW;W;7;20;67;20;1017.3;1013.1;1;4;19.7;30.7;0;0;0
10.1;31.2;0;13.1;S;W;6;20;45;16;1018.2;1013.7;0;1;18.7;30.4;0;0;0
12.4;32.1;0;11.1;SE;WSW;7;9;70;22;1017.9;1012.8;0;3;19.1;30.7;0;0;0
13.8;31.2;0;8.4;WSW;W;6;19;72;23;1014.4;1009.8;7;6;20.2;29.8;0;1.2;1
11.7;30;1.2;10.1;SW;NE;6;11;59;26;1016.4;1013;1;5;20.1;28.6;1;0.6;0
12.4;32.3;0.6;13;NNE;W;4;17;60;25;1017.1;1013.3;1;3;20.2;31.2;0;0;0
15.6;33.4;0;10.4;NNW;NNW;2;13;61;27;1018.5;1013.7;0;1;22.8;32;0;0;0
15.3;33.4;0;9.5;N;NW;2;31;60;26;1012.4;1006.5;1;5;22.2;32.8;0;0.4;0
16.4;19.4;0.4;0;ENE;E;6;11;88;72;1010.7;1008.9;8;8;16.5;18.3;0;25.8;1
12.8;18.5;25.8;0.6;S;SE;13;13;91;79;1014;1014.9;8;8;14;16.8;1;0.4;0
12;24.3;0.4;7.5;WSW;NE;6;9;74;57;1020.7;1019.2;7;5;17.8;22.8;0;0;0
15.4;28.4;0;8.1;SSE;NE;9;15;85;31;1022.4;1018.6;8;2;16.8;27.3;0;0;0
15.6;26.9;0;8.9;E;E;6;22;65;48;1019.7;1016.5;2;4;19.8;25.1;0;0.2;0
13.3;22.2;0.2;2.3;E;E;20;17;70;55;1021;1018.6;7;7;16.5;21.2;0;0;0
